run,seed,final_best,iterations,FE
0,0,3.936622255344306e-06,100,4040
1,1,8.417999721558627e-06,100,4040
2,2,1.107851390450213e-05,100,4040
3,3,4.556222697264135e-06,100,4040
4,4,2.2481982240863915e-05,100,4040
5,5,1.2784624142962443e-05,100,4040
6,6,2.3548157693105725e-06,100,4040
7,7,9.275086022002794e-06,100,4040
8,8,2.7434146862111897e-05,100,4040
9,9,3.031071624205363e-06,100,4040
10,10,8.17851818761254e-06,100,4040
11,11,7.089758802421912e-06,100,4040
12,12,4.6202917009369815e-06,100,4040
13,13,9.387132743984875e-06,100,4040
14,14,1.2870331937441057e-05,100,4040
15,15,5.3611881116283386e-06,100,4040
16,16,2.0118139717729132e-06,100,4040
17,17,1.88669624705705e-06,100,4040
18,18,4.444716244874539e-06,100,4040
19,19,7.968735442968661e-06,100,4040
20,20,9.830406276331698e-06,100,4040
21,21,1.2874638256503992e-05,100,4040
22,22,1.934012329105383e-05,100,4040
23,23,5.631163472879634e-06,100,4040
24,24,1.734834514914153e-06,100,4040
25,25,7.757532683080104e-06,100,4040
26,26,1.4292885687114527e-06,100,4040
27,27,1.130695216553052e-06,100,4040
28,28,9.807407117580252e-07,100,4040
29,29,6.164561123283049e-06,100,4040
